Event,Reference (Event),ID (Site),ID (Dataset),Site,Longitude,Latitude,Cont,Age min [ka],Age max [ka],Age [ka BP] (median),Age [ka BP] (mean),Reference (AgeModel),Depth [m],July WA-PLS,TTT std err [±] (reconstruction error for mean...),July-MAT,TTT std err [±] (reconstruction error for mean...),Annual WA-PLS,TTT std err [±] (reconstruction error for annu...),Annual-MAT,TTT std err [±] (reconstruction error for annu...),Total precip WA-PLS,Precip annual total err [±] (reconstruction error with WA-...),Total precip MAT,Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean from July ...),TTT std err [±] (reconstruction error for mean...),Precip annual total [mm/a] (reconstructed from July tempe...),Precip annual total err [±] (reconstruction error for annu...),MAAT [°C] (reconstructed from annual mea...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual mea...),Precip annual total err [±] (reconstruction error for annu...),T air (7) [°C] (reconstructed mean July tempe...),TTT std err [±] (reconstruction error for mean...),MAAT [°C] (reconstructed from annual pre...),TTT std err [±] (reconstruction error for annu...),Precip annual total [mm/a] (reconstructed from annual pre...),Precip annual total err [±] (reconstruction error for annu...),Elevation (masl),Type of data,Location type
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,16.72,18.06,17.58,17.54,AWI,255.7,11.7,4.24,7.8,4.4,-1.9,3.99,-4.7,3.96,313,161.2,304,132.12,11,2.27,304,129.81,-2.1,1.59,318,118.02,10.8,3.87,-2.6,3.16,306,48.95,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,17.66,18.52,18.19,18.17,AWI,265,11.9,4.24,10.1,4.79,-1.3,3.99,-2.4,4.1,308,161.21,322,130.57,11.2,2.27,303,129.87,-1.8,1.59,310,118.25,11.2,3.88,-1.4,3.17,309,49.16,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,17.76,18.83,18.32,18.32,AWI,269.2,9.5,4.24,5.5,3.46,-3.1,3.99,-6,3.34,298,161.23,342,130.96,10,2.27,284,129.87,-2.5,1.59,300,118.14,8.3,3.88,-4,3.17,304,49.13,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,17.83,19.19,18.44,18.47,AWI,273.4,9.6,4.24,5.3,3.52,-2.9,3.99,-6.4,3.38,286,161.23,341,131.13,10,2.27,286,129.91,-2.1,1.59,292,118.23,8.4,3.88,-3.3,3.17,314,49.13,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,17.88,19.56,18.56,18.61,AWI,277.6,13.6,4.24,6.4,3.79,-0.3,3.99,-5.7,3.72,266,161.28,257,141.69,11,2.27,264,129.97,-1.9,1.59,271,118.26,11.9,3.88,-1.2,3.17,305,49.08,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,18.02,20.22,18.81,18.9,AWI,285.9,11.9,4.24,5.7,3.48,-1.3,3.99,-6,3.34,285,161.21,350,131.4,10.5,2.27,277,129.88,-2,1.59,272,118.2,10.7,3.87,-2,3.17,305,49.01,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,18.22,20.55,19.14,19.21,AWI,294.3,12.4,4.24,6.1,3.71,-1.3,3.99,-5.6,3.49,280,161.22,317,135.49,10.9,2.27,272,129.89,-2.1,1.59,276,118.17,11.4,3.87,-1.8,3.16,301,48.97,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,18.35,21.06,19.45,19.52,AWI,302.6,13.6,4.24,11.9,3.48,-0.6,3.99,-3.9,3.32,278,161.19,210,133.85,11.2,2.27,283,129.86,-1.7,1.59,277,118.13,13.2,3.87,-0.9,3.16,297,48.93,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,18.57,21.46,19.76,19.82,AWI,310.9,13,4.24,9.5,3.65,-1.1,3.99,-2.9,3.56,276,161.23,249,141.29,10.9,2.28,272,129.96,-1.9,1.59,270,118.3,12.6,3.88,-1.3,3.16,297,48.99,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,18.76,21.73,20.1,20.13,AWI,319.3,13.1,4.24,8.5,3.6,-1.2,3.99,-3.7,3.49,249,161.24,254,137.72,10.7,2.28,242,129.98,-1.9,1.59,233,118.31,12.2,3.88,-1.4,3.16,295,49.04,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,18.91,22.14,20.4,20.43,AWI,327.6,11.1,4.24,6.5,3.58,-2.5,3.99,-6,3.37,308,161.2,320,134.8,10.9,2.27,298,129.82,-2.1,1.59,294,118.09,10.5,3.87,-2.9,3.16,302,48.95,3200,Raw,Lake
LUANHAILH2,Cao et al.,158,100158,Luanhaizi LH2,101.35,37.593333,Asia,19.2,22.38,20.71,20.72,AWI,336,12.5,4.24,8.1,3.83,-1.3,3.99,-4.4,3.7,259,161.32,140,145.92,10.8,2.28,244,130.19,-2,1.6,232,118.83,12.5,3.9,-0.9,3.18,289,49.26,3200,Raw,Lake
